id,producto,cantidad,precio,fecha_venta
1,Notebook,3,45000,2024-01-05
2,Mouse,10,2500,2024-01-12
3,Teclado,5,3800,2024-01-18
4,Monitor,2,78000,2024-01-25
5,Notebook,2,45000,2024-02-03
6,Auriculares,8,4200,2024-02-10
7,Mouse,15,2500,2024-02-14
8,Teclado,6,3800,2024-02-20
9,Monitor,1,78000,2024-03-02
10,Notebook,4,45000,2024-03-08
11,Mouse,12,2500,2024-03-15
12,Auriculares,5,4200,2024-03-22
13,Webcam,7,6500,2024-03-28
14,Notebook,3,45000,2024-04-04
15,Monitor,2,78000,2024-04-10
16,Teclado,9,3800,2024-04-17
17,Mouse,20,2500,2024-04-24
18,Auriculares,6,4200,2024-05-02
19,Webcam,4,6500,2024-05-09
20,Notebook,5,45000,2024-05-16
21,Mouse,18,2500,2024-05-23
22,Monitor,3,78000,2024-06-01
23,Teclado,7,3800,2024-06-08
24,Auriculares,9,4200,2024-06-15
25,Webcam,6,6500,2024-06-22
26,Notebook,4,45000,2024-07-05
27,Mouse,22,2500,2024-07-12
28,Teclado,8,3800,2024-07-19
29,Monitor,2,78000,2024-07-26
30,Auriculares,11,4200,2024-08-02
