id,producto,cantidad,precio,fecha_venta
1,Notebook,2,850000,2024-01-15
2,Mouse,5,8500,2024-01-18
3,Teclado,3,15000,2024-01-22
4,Monitor,1,180000,2024-01-28
5,Auriculares,4,12000,2024-02-03
6,Webcam,2,25000,2024-02-08
7,Notebook,1,850000,2024-02-14
8,Mouse,6,8500,2024-02-19
9,Teclado,2,15000,2024-02-25
10,Monitor,2,180000,2024-03-02
11,Auriculares,3,12000,2024-03-09
12,Webcam,1,25000,2024-03-15
13,Notebook,3,850000,2024-03-21
14,Mouse,4,8500,2024-03-27
15,Teclado,5,15000,2024-04-02
16,Monitor,1,180000,2024-04-08
17,Auriculares,2,12000,2024-04-14
18,Webcam,3,25000,2024-04-20
19,Notebook,2,850000,2024-04-26
20,Mouse,3,8500,2024-05-03
21,Teclado,4,15000,2024-05-09
22,Monitor,2,180000,2024-05-15
23,Auriculares,5,12000,2024-05-21
24,Webcam,2,25000,2024-05-27
25,Notebook,1,850000,2024-06-02
26,Mouse,7,8500,2024-06-08
27,Teclado,3,15000,2024-06-14
28,Monitor,1,180000,2024-07-05
29,Auriculares,4,12000,2024-07-20
30,Webcam,3,25000,2024-08-10
